"Año";"Trimestre";"Mes";"Juego";"Cantidades jugadas";"GGR"
2014;"2014.T4";"Octubre";"Póquer Torneo";50734902;2597349
2014;"2014.T4";"Octubre";"Ruleta Convencional";106298540;2239532
2014;"2014.T4";"Octubre";"Ruleta en Vivo";1520880;45234
2014;"2014.T4";"Noviembre";"Ap. Cruzadas";0;0
2014;"2014.T4";"Noviembre";"Ap. Dep. de Contrap. Convencionales";300917018;10807125
2014;"2014.T4";"Noviembre";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T4";"Noviembre";"Ap. Deportivas Mutuas";16576;6761
2014;"2014.T4";"Noviembre";"Ap. Hípicas de Contrapartida";3402412;168148
2014;"2014.T4";"Noviembre";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T4";"Noviembre";"Bingo";5676190;661469
2014;"2014.T4";"Noviembre";"Black Jack";43909157;1442185
2014;"2014.T4";"Noviembre";"Concursos";540741;438016
2014;"2014.T4";"Noviembre";"Juegos Complementarios";10862;829
2014;"2014.T4";"Noviembre";"Máquinas de Azar";0;0
2014;"2014.T4";"Noviembre";"Otras Ap. de Contrapartida";16290;2626
2014;"2014.T4";"Noviembre";"Punto y Banca";301258;10212
2014;"2014.T4";"Noviembre";"Póquer Cash";112878743;2857034
2014;"2014.T4";"Noviembre";"Póquer Torneo";50732690;2641891
2014;"2014.T4";"Noviembre";"Ruleta Convencional";104225469;2501880
2014;"2014.T4";"Noviembre";"Ruleta en Vivo";2516534;51871
2014;"2014.T4";"Diciembre";"Ap. Cruzadas";0;0
2014;"2014.T4";"Diciembre";"Ap. Dep. de Contrap. Convencionales";286655803;12023146
2014;"2014.T4";"Diciembre";"Ap. Dep. de Contrap. en Directo";0;0
2014;"2014.T4";"Diciembre";"Ap. Deportivas Mutuas";11429;4158
2014;"2014.T4";"Diciembre";"Ap. Hípicas de Contrapartida";3670431;292370
2014;"2014.T4";"Diciembre";"Apuestas Hípicas Mutuas";0;0
2014;"2014.T4";"Diciembre";"Bingo";6257477;699337
2014;"2014.T4";"Diciembre";"Black Jack";40805174;1029556
2014;"2014.T4";"Diciembre";"Concursos";1251787;842076
2014;"2014.T4";"Diciembre";"Juegos Complementarios";7703;748
