Tipo de dato;Agregados macroeconómicos: Nivel 1;Agregados macroeconómicos: Nivel 2;Niveles y tasas;Periodo;Total
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T4;3,3129
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T3;-2,5059
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T2;3,9472
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2011T1;-6,5481
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T4;4,8911
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T3;-2,3607
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T2;4,6425
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2010T1;-6,6602
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T4;5,1695
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T3;-2,3084
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T2;4,2453
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2009T1;-8,8835
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T4;3,9218
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T3;-3,3472
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T2;4,3381
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2008T1;-6,1271
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T4;6,7218
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T3;-2,4787
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T2;4,7853
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2007T1;-4,9557
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T4;6,6508
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T3;-2,4736
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T2;4,7882
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2006T1;-4,4733
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T4;6,3254
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T3;-2,3891
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T2;5,5282
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2005T1;-5,2285
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T4;6,1192
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T3;-2,0400
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T2;4,7769
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2004T1;-5,3052
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T4;6,4669
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T3;-2,4133
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T2;4,4645
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2003T1;-5,3423
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T4;6,5725
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T3;-2,5020
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T2;5,3774
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2002T1;-6,2274
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T4;6,4863
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T3;-1,9834
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T2;4,7355
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2001T1;-5,0119
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T4;6,4525
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T3;-2,0026
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T2;5,2811
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;2000T1;-4,6958
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T4;6,7459
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T3;-1,6204
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T2;5,9590
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1999T1;-6,3447
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1998T4;7,2595
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1998T3;-1,7532
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1998T2;5,8598
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1998T1;-7,0180
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1997T4;7,9070
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1997T3;-1,6269
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1997T2;6,4758
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1997T1;-7,2630
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1996T4;6,8816
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1996T3;-2,0364
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1996T2;5,7453
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1996T1;-7,0366
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1995T4;7,2108
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1995T3;-3,1003
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1995T2;5,9561
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación trimestral;1995T1;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación anual;2025T4;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación anual;2025T3;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación anual;2025T2;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación anual;2025T1;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación anual;2024T4;""
Datos no ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;;Variación anual;2024T3;""
